round,minutes_used,timing_tag,is_correct,player_rating,landmark,landmark_Glucksman Gallery,landmark_Honan Collegiate Chapel,landmark_Boole Library,landmark_The Quad / Aula Maxima,landmark_Brookfield Health Sciences Complex,landmark_Student Centre,landmark_Geography Building
67,5.210873281295374,in_time,1,0.17300947918365275,The Quad / Aula Maxima,0.0056414734319682625,-0.008447307422844509,-0.02167440810702906,-0.024469558076088832,0.002096855051601022,-0.02949158464181415,-0.04544254049182127
68,8.800929404590146,in_time,1,0.17523582010791233,Brookfield Health Sciences Complex,0.0056414734319682625,-0.008447307422844509,-0.02167440810702906,-0.024469558076088832,0.0007571100706306498,-0.02949158464181415,-0.04544254049182127
69,11.029639877578738,timeout,0,0.17265122884414036,Geography Building,0.0056414734319682625,-0.008447307422844509,-0.02167440810702906,-0.024469558076088832,0.0007571100706306498,-0.02949158464181415,-0.04384779269077047
70,8.179615699077232,in_time,1,0.17679415449522765,Boole Library,0.0056414734319682625,-0.008447307422844509,-0.02419906076243034,-0.024469558076088832,0.0007571100706306498,-0.02949158464181415,-0.04384779269077047
71,8.704074515610163,in_time,1,0.17936651622713548,Glucksman Gallery,0.004152091881984562,-0.008447307422844509,-0.02419906076243034,-0.024469558076088832,0.0007571100706306498,-0.02949158464181415,-0.04384779269077047
72,7.549490440260655,in_time,1,0.18561055621874722,The Quad / Aula Maxima,0.004152091881984562,-0.008447307422844509,-0.02419906076243034,-0.028370005417787742,0.0007571100706306498,-0.02949158464181415,-0.04384779269077047
73,5.3544543703722365,in_time,0,0.16697706576846372,Honan Collegiate Chapel,0.004152091881984562,0.003192423967572154,-0.02419906076243034,-0.028370005417787742,0.0007571100706306498,-0.02949158464181415,-0.04384779269077047
74,11.658992504543154,timeout,0,0.16505943519697408,Honan Collegiate Chapel,0.004152091881984562,0.0044049932099350505,-0.02419906076243034,-0.028370005417787742,0.0007571100706306498,-0.02949158464181415,-0.04384779269077047
75,5.923072078317109,in_time,1,0.177514551264948,Brookfield Health Sciences Complex,0.004152091881984562,0.0044049932099350505,-0.02419906076243034,-0.028370005417787742,-0.006832898658125812,-0.02949158464181415,-0.04384779269077047
76,9.137015617404433,in_time,1,0.17814311997785204,The Quad / Aula Maxima,0.004152091881984562,0.0044049932099350505,-0.02419906076243034,-0.02876746627354944,-0.006832898658125812,-0.02949158464181415,-0.04384779269077047
77,8.94233199007495,in_time,1,0.17944364305668214,The Quad / Aula Maxima,0.004152091881984562,0.0044049932099350505,-0.02419906076243034,-0.02959980104400071,-0.006832898658125812,-0.02949158464181415,-0.04384779269077047
78,6.141802051397827,in_time,1,0.19041905756891417,Geography Building,0.004152091881984562,0.0044049932099350505,-0.02419906076243034,-0.02959980104400071,-0.006832898658125812,-0.02949158464181415,-0.050703774781818686
79,10.301040228633653,timeout,0,0.1882277231940481,Glucksman Gallery,0.005437468229079151,0.0044049932099350505,-0.02419906076243034,-0.02959980104400071,-0.006832898658125812,-0.02949158464181415,-0.050703774781818686
80,6.865700112243451,in_time,1,0.19698996074187694,Brookfield Health Sciences Complex,0.005437468229079151,0.0044049932099350505,-0.02419906076243034,-0.02959980104400071,-0.012239385655722329,-0.02949158464181415,-0.050703774781818686
81,6.6246186746052,in_time,0,0.18248998201059793,The Quad / Aula Maxima,0.005437468229079151,0.0044049932099350505,-0.02419906076243034,-0.020208355744738157,-0.012239385655722329,-0.02949158464181415,-0.050703774781818686
