round,player_Novice,player_Average,player_Expert,landmark_Glucksman Gallery,landmark_Honan Collegiate Chapel,landmark_Boole Library,landmark_The Quad / Aula Maxima,landmark_Brookfield Health Sciences Complex,landmark_Student Centre,landmark_Geography Building
13,-0.023580851952050588,-0.0025826804903566723,0.006818503499871283,0.0,0.005736504299328022,-0.0009316893948978337,-0.0062464696399810605,0.0025709337023770923,0.0015923421122342775,0.015351319114788419
14,-0.023580851952050588,-0.0025826804903566723,0.02407409614129886,0.0,0.005736504299328022,-0.0009316893948978337,-0.0062464696399810605,0.0025709337023770923,0.0015923421122342775,-0.001904273526639159
15,-0.023580851952050588,0.007796556130177214,0.02407409614129886,0.0,-0.004532834521694328,-0.0009316893948978337,-0.0062464696399810605,0.0025709337023770923,0.0015923421122342775,-0.001904273526639159
16,-0.021234414060291845,0.007796556130177214,0.02407409614129886,0.0,-0.004532834521694328,-0.0009316893948978337,-0.008428291064946039,0.0025709337023770923,0.0015923421122342775,-0.001904273526639159
17,-0.02339777583869126,0.007796556130177214,0.02407409614129886,0.0,-0.004532834521694328,-0.0009316893948978337,-0.008428291064946039,0.0025709337023770923,0.0036478951641353845,-0.001904273526639159
18,-0.02339777583869126,-0.0006774227624821473,0.02407409614129886,0.0,-0.004532834521694328,0.007453297887453554,-0.008428291064946039,0.0025709337023770923,0.0036478951641353845,-0.001904273526639159
19,-0.021692997784228396,-0.0006774227624821473,0.02407409614129886,0.0,-0.004532834521694328,0.007453297887453554,-0.009998628790907998,0.0025709337023770923,0.0036478951641353845,-0.001904273526639159
20,-0.021692997784228396,0.00863147272610351,0.02407409614129886,0.0,-0.004532834521694328,0.007453297887453554,-0.009998628790907998,0.0025709337023770923,0.0036478951641353845,-0.011213169015224816
21,-0.021692997784228396,0.004176121331213329,0.02407409614129886,0.0,-0.004532834521694328,0.011816681019605176,-0.009998628790907998,0.0025709337023770923,0.0036478951641353845,-0.011213169015224816
22,-0.020162752519812466,0.004176121331213329,0.02407409614129886,0.0,-0.005928497955037848,0.011816681019605176,-0.009998628790907998,0.0025709337023770923,0.0036478951641353845,-0.011213169015224816
23,-0.020162752519812466,0.015054414086465254,0.02407409614129886,0.0,-0.016473024909844546,0.011816681019605176,-0.009998628790907998,0.0025709337023770923,0.0036478951641353845,-0.011213169015224816
24,-0.019790288731644186,0.015054414086465254,0.02407409614129886,0.0,-0.016473024909844546,0.011816681019605176,-0.009998628790907998,0.0025709337023770923,0.003300771784881362,-0.011213169015224816
25,-0.019790288731644186,0.02373389587182631,0.02407409614129886,0.0,-0.016473024909844546,0.0034013999199315487,-0.009998628790907998,0.0025709337023770923,0.003300771784881362,-0.011213169015224816
26,-0.023146215576610694,0.02373389587182631,0.02407409614129886,0.0,-0.01340782541722273,0.0034013999199315487,-0.009998628790907998,0.0025709337023770923,0.003300771784881362,-0.011213169015224816
27,-0.023146215576610694,0.02373389587182631,0.008855333639284707,0.01458684156767447,-0.01340782541722273,0.0034013999199315487,-0.009998628790907998,0.0025709337023770923,0.003300771784881362,-0.011213169015224816
28,-0.020871995289401493,0.02373389587182631,0.008855333639284707,0.01458684156767447,-0.01340782541722273,0.0034013999199315487,-0.009998628790907998,0.0025709337023770923,0.0012005619766084661,-0.011213169015224816
29,-0.020871995289401493,0.02373389587182631,0.020797301834212467,0.01458684156767447,-0.025349793612150492,0.0034013999199315487,-0.009998628790907998,0.0025709337023770923,0.0012005619766084661,-0.011213169015224816
30,-0.020871995289401493,0.027766097011891245,0.020797301834212467,0.01458684156767447,-0.025349793612150492,0.0034013999199315487,-0.009998628790907998,-0.001218526231931426,0.0012005619766084661,-0.011213169015224816
31,-0.020871995289401493,0.016847368211447562,0.020797301834212467,0.02463785682106303,-0.025349793612150492,0.0034013999199315487,-0.009998628790907998,-0.001218526231931426,0.0012005619766084661,-0.011213169015224816
32,-0.020871995289401493,0.016847368211447562,0.0329394127438265,0.01299190481354446,-0.025349793612150492,0.0034013999199315487,-0.009998628790907998,-0.001218526231931426,0.0012005619766084661,-0.011213169015224816
33,-0.020871995289401493,0.02317392384042575,0.0329394127438265,0.01299190481354446,-0.025349793612150492,0.0034013999199315487,-0.009998628790907998,-0.007108050057592042,0.0012005619766084661,-0.011213169015224816
34,-0.020267807210551676,0.02317392384042575,0.0329394127438265,0.01299190481354446,-0.025349793612150492,0.0034013999199315487,-0.009998628790907998,-0.007108050057592042,0.0012005619766084661,-0.011760118223446758
35,-0.020267807210551676,0.029506674616108716,0.0329394127438265,0.01299190481354446,-0.025349793612150492,0.0034013999199315487,-0.015835772984146214,-0.007108050057592042,0.0012005619766084661,-0.011760118223446758
36,-0.020267807210551676,0.021758650309777475,0.0329394127438265,0.02006364682589636,-0.025349793612150492,0.0034013999199315487,-0.015835772984146214,-0.007108050057592042,0.0012005619766084661,-0.011760118223446758
37,-0.020267807210551676,0.021758650309777475,0.0455927447859408,0.02006364682589636,-0.025349793612150492,0.0034013999199315487,-0.02810394159318601,-0.007108050057592042,0.0012005619766084661,-0.011760118223446758
