round,time_limit,player,landmark,minutes_used,timing_tag,is_correct,player_Novice,player_Average,player_Expert,landmark_Glucksman Gallery,landmark_Honan Collegiate Chapel,landmark_Boole Library,landmark_The Quad / Aula Maxima,landmark_Brookfield Health Sciences Complex,landmark_Student Centre,landmark_Geography Building
61,15,Novice,Brookfield Health Sciences Complex,9.49323609112379,in_time,0,-0.05858010616975333,0.05787171501812441,0.21157574753923394,0.00031772730076146116,-0.08836500352929565,-0.08137352905507914,0.0008563932328308332,0.0018096666727414872,-0.012330318074822419,-0.019704586943575995
62,15,Expert,The Quad / Aula Maxima,4.418139891392151,in_time,1,-0.05858010616975333,0.05787171501812441,0.22765993279204613,0.00031772730076146116,-0.08836500352929565,-0.08137352905507914,-0.013440660325224457,0.0018096666727414872,-0.012330318074822419,-0.019704586943575995
63,15,Expert,Boole Library,7.534892247699363,in_time,1,-0.05858010616975333,0.05787171501812441,0.23778981910594904,0.00031772730076146116,-0.08836500352929565,-0.09005805354126663,-0.013440660325224457,0.0018096666727414872,-0.012330318074822419,-0.019704586943575995
64,15,Average,Student Centre,12.667720345711302,in_time,1,-0.05858010616975333,0.06129373161555403,0.23778981910594904,0.00031772730076146116,-0.08836500352929565,-0.09005805354126663,-0.013440660325224457,0.0018096666727414872,-0.015195070208255659,-0.019704586943575995
65,15,Novice,Glucksman Gallery,11.823624556322683,in_time,0,-0.06353346522337824,0.06129373161555403,0.23778981910594904,0.004676683267951394,-0.08836500352929565,-0.09005805354126663,-0.013440660325224457,0.0018096666727414872,-0.015195070208255659,-0.019704586943575995
66,15,Novice,The Quad / Aula Maxima,13.896010000391138,in_time,0,-0.06501476112107196,0.06129373161555403,0.23778981910594904,0.004676683267951394,-0.08836500352929565,-0.09005805354126663,-0.012151417196979618,0.0018096666727414872,-0.015195070208255659,-0.019704586943575995
67,15,Novice,Geography Building,16.482832480500655,timeout,0,-0.06461551985106606,0.06129373161555403,0.23778981910594904,0.004676683267951394,-0.08836500352929565,-0.09005805354126663,-0.012151417196979618,0.0018096666727414872,-0.015195070208255659,-0.020027377757623324
68,15,Novice,Honan Collegiate Chapel,9.196926534059378,in_time,1,-0.05460872967799628,0.06129373161555403,0.23778981910594904,0.004676683267951394,-0.09730598173126924,-0.09005805354126663,-0.012151417196979618,0.0018096666727414872,-0.015195070208255659,-0.020027377757623324
69,15,Novice,Honan Collegiate Chapel,12.20224066517456,in_time,1,-0.0500215989236394,0.06129373161555403,0.23778981910594904,0.004676683267951394,-0.10140855642002504,-0.09005805354126663,-0.012151417196979618,0.0018096666727414872,-0.015195070208255659,-0.020027377757623324
70,15,Average,Honan Collegiate Chapel,10.572286316531134,in_time,1,-0.0500215989236394,0.06752316824628359,0.23778981910594904,0.004676683267951394,-0.10723123418973961,-0.09005805354126663,-0.012151417196979618,0.0018096666727414872,-0.015195070208255659,-0.020027377757623324
71,15,Average,The Quad / Aula Maxima,5.225242435291717,in_time,1,-0.0500215989236394,0.0839321362204646,0.23778981910594904,0.004676683267951394,-0.10723123418973961,-0.09005805354126663,-0.026450660717337364,0.0018096666727414872,-0.015195070208255659,-0.020027377757623324
72,15,Expert,The Quad / Aula Maxima,5.162118609801329,in_time,1,-0.0500215989236394,0.0839321362204646,0.2524028500533444,0.004676683267951394,-0.10723123418973961,-0.09005805354126663,-0.03962547112191496,0.0018096666727414872,-0.015195070208255659,-0.020027377757623324
73,15,Novice,Geography Building,10.628549995045733,in_time,0,-0.0576642509635367,0.0839321362204646,0.2524028500533444,0.004676683267951394,-0.10723123418973961,-0.09005805354126663,-0.03962547112191496,0.0018096666727414872,-0.015195070208255659,-0.013967783677658718
