round,player_Novice,player_Average,player_Expert,landmark_Glucksman Gallery,landmark_Honan Collegiate Chapel,landmark_Boole Library,landmark_The Quad / Aula Maxima,landmark_Brookfield Health Sciences Complex,landmark_Student Centre,landmark_Geography Building
15,-0.0006815928352273566,0.016946560645247313,0.05935989433289121,-0.008220571386503863,-0.02451576685204004,-0.006070671601291708,-0.014892678697871257,-0.013976280892782961,-0.006417246798851242,0.0
16,-0.0006815928352273566,0.016946560645247313,0.07002413180896619,-0.008220571386503863,-0.02451576685204004,-0.006070671601291708,-0.014892678697871257,-0.0241073064950542,-0.006417246798851242,0.0
17,-0.002281751724191378,0.016946560645247313,0.07002413180896619,-0.0066415289638164935,-0.02451576685204004,-0.006070671601291708,-0.014892678697871257,-0.0241073064950542,-0.006417246798851242,0.0
18,-0.002281751724191378,0.02115903850505121,0.07002413180896619,-0.0066415289638164935,-0.02451576685204004,-0.006070671601291708,-0.014892678697871257,-0.0241073064950542,-0.006417246798851242,-0.003894332678783744
19,-0.002281751724191378,0.029809755014931508,0.07002413180896619,-0.0066415289638164935,-0.02451576685204004,-0.006070671601291708,-0.023110859382257543,-0.0241073064950542,-0.006417246798851242,-0.003894332678783744
20,-0.0005858486768825098,0.029809755014931508,0.07002413180896619,-0.0066415289638164935,-0.02451576685204004,-0.007766574648600576,-0.023110859382257543,-0.0241073064950542,-0.006417246798851242,-0.003894332678783744
21,-0.00016847568504896072,0.029809755014931508,0.07002413180896619,-0.007048123313106278,-0.02451576685204004,-0.007766574648600576,-0.023110859382257543,-0.0241073064950542,-0.006417246798851242,-0.003894332678783744
22,-0.00016847568504896072,0.029809755014931508,0.08129371577727376,-0.007048123313106278,-0.02451576685204004,-0.007766574648600576,-0.023110859382257543,-0.0241073064950542,-0.016852046769506402,-0.003894332678783744
23,-0.00016847568504896072,0.029809755014931508,0.08793920541050027,-0.007048123313106278,-0.02451576685204004,-0.007766574648600576,-0.023110859382257543,-0.030345929416042347,-0.016852046769506402,-0.003894332678783744
24,-0.001618666143439954,0.029809755014931508,0.08793920541050027,-0.007048123313106278,-0.02451576685204004,-0.007766574648600576,-0.023110859382257543,-0.028895738957651355,-0.016852046769506402,-0.003894332678783744
25,0.0004568924474612163,0.029809755014931508,0.08793920541050027,-0.007048123313106278,-0.02451576685204004,-0.007766574648600576,-0.023110859382257543,-0.028895738957651355,-0.018848897380134635,-0.003894332678783744
26,0.0004568924474612163,0.029809755014931508,0.09843206187510209,-0.007048123313106278,-0.02451576685204004,-0.01749682781698638,-0.023110859382257543,-0.028895738957651355,-0.018848897380134635,-0.003894332678783744
27,0.0013778570613510867,0.029809755014931508,0.09843206187510209,-0.007923039696301655,-0.02451576685204004,-0.01749682781698638,-0.023110859382257543,-0.028895738957651355,-0.018848897380134635,-0.003894332678783744
28,0.0013778570613510867,0.03530836362920017,0.09843206187510209,-0.007923039696301655,-0.02451576685204004,-0.01749682781698638,-0.023110859382257543,-0.028895738957651355,-0.018848897380134635,-0.008918403837300456
29,0.0013778570613510867,0.03530836362920017,0.10844472357443777,-0.007923039696301655,-0.02451576685204004,-0.01749682781698638,-0.023110859382257543,-0.03830683887264777,-0.018848897380134635,-0.008918403837300456
30,0.003984029026942321,0.03530836362920017,0.10844472357443777,-0.007923039696301655,-0.02451576685204004,-0.01749682781698638,-0.025587977440336696,-0.03830683887264777,-0.018848897380134635,-0.008918403837300456
31,0.003984029026942321,0.038980862591995215,0.10844472357443777,-0.007923039696301655,-0.02451576685204004,-0.0209892042148487,-0.025587977440336696,-0.03830683887264777,-0.018848897380134635,-0.008918403837300456
32,0.003984029026942321,0.0374962868664634,0.10844472357443777,-0.007923039696301655,-0.02451576685204004,-0.0209892042148487,-0.025587977440336696,-0.03687643009926374,-0.018848897380134635,-0.008918403837300456
33,0.003984029026942321,0.0374962868664634,0.12006810740255709,-0.007923039696301655,-0.02451576685204004,-0.031783443093538116,-0.025587977440336696,-0.03687643009926374,-0.018848897380134635,-0.008918403837300456
34,0.003984029026942321,0.0374962868664634,0.1354958924212249,-0.007923039696301655,-0.038135608313832704,-0.031783443093538116,-0.025587977440336696,-0.03687643009926374,-0.018848897380134635,-0.008918403837300456
35,0.0011466749427122389,0.0374962868664634,0.1354958924212249,-0.007923039696301655,-0.035471969785779975,-0.031783443093538116,-0.025587977440336696,-0.03687643009926374,-0.018848897380134635,-0.008918403837300456
36,0.0011466749427122389,0.0374962868664634,0.14559078513184234,-0.007923039696301655,-0.035471969785779975,-0.031783443093538116,-0.025587977440336696,-0.03687643009926374,-0.018848897380134635,-0.017610145437561824
37,0.0011466749427122389,0.0374962868664634,0.15438801686634662,-0.007923039696301655,-0.035471969785779975,-0.031783443093538116,-0.025587977440336696,-0.03687643009926374,-0.026533835447057917,-0.017610145437561824
38,0.0011466749427122389,0.0374962868664634,0.1613130782001662,-0.007923039696301655,-0.035471969785779975,-0.031783443093538116,-0.025587977440336696,-0.03687643009926374,-0.026533835447057917,-0.023512186347067133
39,0.0011466749427122389,0.0374962868664634,0.17430068711086202,-0.01900883353496819,-0.035471969785779975,-0.031783443093538116,-0.025587977440336696,-0.03687643009926374,-0.026533835447057917,-0.023512186347067133
40,-0.0008947536171703581,0.0374962868664634,0.17430068711086202,-0.01900883353496819,-0.035471969785779975,-0.031783443093538116,-0.023670355194732692,-0.03687643009926374,-0.026533835447057917,-0.023512186347067133
41,-0.0017384085188617122,0.0374962868664634,0.17430068711086202,-0.01900883353496819,-0.035471969785779975,-0.031783443093538116,-0.023670355194732692,-0.03606326874823593,-0.026533835447057917,-0.023512186347067133
42,-0.0017384085188617122,0.0374962868664634,0.18521886386944067,-0.01900883353496819,-0.035471969785779975,-0.031783443093538116,-0.03312373308383743,-0.03606326874823593,-0.026533835447057917,-0.023512186347067133
43,-0.0017384085188617122,0.0374962868664634,0.19758832764638032,-0.01900883353496819,-0.035471969785779975,-0.031783443093538116,-0.03312373308383743,-0.047058347661071184,-0.026533835447057917,-0.023512186347067133
44,-0.005697513841081232,0.0374962868664634,0.19758832764638032,-0.01900883353496819,-0.035471969785779975,-0.031783443093538116,-0.029400288792702407,-0.047058347661071184,-0.026533835447057917,-0.023512186347067133
45,-0.005697513841081232,0.0277359775718752,0.19758832764638032,-0.01900883353496819,-0.035471969785779975,-0.031783443093538116,-0.029400288792702407,-0.047058347661071184,-0.026533835447057917,-0.01457065133418207
46,-0.007690129358210854,0.0277359775718752,0.19758832764638032,-0.01900883353496819,-0.035471969785779975,-0.031783443093538116,-0.029400288792702407,-0.047058347661071184,-0.026533835447057917,-0.01276533127035967
47,-0.007690129358210854,0.03458390654798558,0.19758832764638032,-0.01900883353496819,-0.035471969785779975,-0.031783443093538116,-0.029400288792702407,-0.047058347661071184,-0.026533835447057917,-0.0191247686154133
48,-0.007690129358210854,0.03458390654798558,0.21182045584457512,-0.01900883353496819,-0.035471969785779975,-0.031783443093538116,-0.029400288792702407,-0.047058347661071184,-0.026533835447057917,-0.03132621510728031
